"exposure","SNP","true_beta","is_pleio"
"ExpB","ExpB_rs00039",0.35,FALSE
"ExpB","ExpB_rs00040",0.35,FALSE
"ExpB","ExpB_rs00041",0.35,FALSE
"ExpB","ExpB_rs00042",0.35,FALSE
"ExpB","ExpB_rs00043",0.35,FALSE
"ExpB","ExpB_rs00044",0.35,FALSE
"ExpB","ExpB_rs00045",0.35,FALSE
"ExpB","ExpB_rs00046",0.35,FALSE
"ExpB","ExpB_rs00047",0.35,FALSE
"ExpB","ExpB_rs00048",0.35,FALSE
"ExpB","ExpB_rs00049",0.35,FALSE
"ExpB","ExpB_rs00050",0.35,FALSE
"ExpB","ExpB_rs00051",0.35,TRUE
"ExpB","ExpB_rs00052",0.35,FALSE
"ExpB","ExpB_rs00053",0.35,FALSE
"ExpB","ExpB_rs00054",0.35,FALSE
"ExpB","ExpB_rs00055",0.35,FALSE
"ExpB","ExpB_rs00056",0.35,FALSE
"ExpB","ExpB_rs00057",0.35,FALSE
"ExpB","ExpB_rs00058",0.35,FALSE
"ExpB","ExpB_rs00059",0.35,FALSE
"ExpB","ExpB_rs00060",0.35,FALSE
"ExpB","ExpB_rs00061",0.35,FALSE
"ExpB","ExpB_rs00062",0.35,FALSE
"ExpB","ExpB_rs00063",0.35,TRUE
"ExpB","ExpB_rs00064",0.35,FALSE
"ExpB","ExpB_rs00065",0.35,FALSE
"ExpB","ExpB_rs00066",0.35,FALSE
"ExpB","ExpB_rs00067",0.35,FALSE
"ExpB","ExpB_rs00068",0.35,FALSE
"ExpB","ExpB_rs00069",0.35,FALSE
"ExpB","ExpB_rs00070",0.35,FALSE
"ExpC","ExpC_rs00001",-0.4,FALSE
"ExpC","ExpC_rs00002",-0.4,FALSE
"ExpC","ExpC_rs00003",-0.4,FALSE
"ExpC","ExpC_rs00004",-0.4,FALSE
"ExpC","ExpC_rs00005",-0.4,FALSE
"ExpC","ExpC_rs00006",-0.4,TRUE
"ExpC","ExpC_rs00007",-0.4,TRUE
"ExpC","ExpC_rs00008",-0.4,FALSE
"ExpC","ExpC_rs00009",-0.4,FALSE
"ExpC","ExpC_rs00010",-0.4,FALSE
"ExpC","ExpC_rs00011",-0.4,FALSE
"ExpC","ExpC_rs00012",-0.4,TRUE
"ExpC","ExpC_rs00013",-0.4,FALSE
"ExpC","ExpC_rs00014",-0.4,FALSE
"ExpC","ExpC_rs00015",-0.4,FALSE
"ExpC","ExpC_rs00016",-0.4,TRUE
"ExpC","ExpC_rs00017",-0.4,FALSE
"ExpC","ExpC_rs00018",-0.4,TRUE
"ExpC","ExpC_rs00019",-0.4,FALSE
"ExpC","ExpC_rs00020",-0.4,FALSE
"ExpC","ExpC_rs00021",-0.4,FALSE
"ExpC","ExpC_rs00022",-0.4,FALSE
"ExpC","ExpC_rs00023",-0.4,FALSE
"ExpC","ExpC_rs00024",-0.4,FALSE
"ExpC","ExpC_rs00025",-0.4,FALSE
"ExpC","ExpC_rs00026",-0.4,FALSE
"ExpC","ExpC_rs00027",-0.4,FALSE
"ExpC","ExpC_rs00028",-0.4,FALSE
"ExpC","ExpC_rs00029",-0.4,FALSE
"ExpC","ExpC_rs00030",-0.4,FALSE
"ExpC","ExpC_rs00031",-0.4,FALSE
"ExpC","ExpC_rs00032",-0.4,FALSE
"ExpC","ExpC_rs00033",-0.4,FALSE
"ExpC","ExpC_rs00034",-0.4,FALSE
"ExpC","ExpC_rs00035",-0.4,FALSE
"ExpC","ExpC_rs00036",-0.4,FALSE
"ExpC","ExpC_rs00037",-0.4,FALSE
"ExpC","ExpC_rs00038",-0.4,FALSE
"ExpC","ExpC_rs00039",-0.4,FALSE
"ExpC","ExpC_rs00040",-0.4,FALSE
"ExpC","ExpC_rs00041",-0.4,TRUE
"ExpC","ExpC_rs00042",-0.4,FALSE
"ExpC","ExpC_rs00043",-0.4,FALSE
"ExpC","ExpC_rs00044",-0.4,TRUE
"ExpC","ExpC_rs00045",-0.4,FALSE
"ExpC","ExpC_rs00046",-0.4,FALSE
"ExpC","ExpC_rs00047",-0.4,FALSE
"ExpC","ExpC_rs00048",-0.4,FALSE
"ExpC","ExpC_rs00049",-0.4,FALSE
"ExpC","ExpC_rs00050",-0.4,FALSE
"ExpC","ExpC_rs00051",-0.4,FALSE
"ExpC","ExpC_rs00052",-0.4,FALSE
"ExpC","ExpC_rs00053",-0.4,FALSE
"ExpC","ExpC_rs00054",-0.4,FALSE
"ExpC","ExpC_rs00055",-0.4,FALSE
"ExpC","ExpC_rs00056",-0.4,FALSE
"ExpC","ExpC_rs00057",-0.4,FALSE
"ExpC","ExpC_rs00058",-0.4,FALSE
"ExpC","ExpC_rs00059",-0.4,FALSE
"ExpC","ExpC_rs00060",-0.4,FALSE
"ExpC","ExpC_rs00061",-0.4,FALSE
"ExpC","ExpC_rs00062",-0.4,FALSE
"ExpC","ExpC_rs00063",-0.4,FALSE
"ExpC","ExpC_rs00064",-0.4,FALSE
"ExpC","ExpC_rs00065",-0.4,FALSE
"ExpC","ExpC_rs00066",-0.4,FALSE
"ExpC","ExpC_rs00067",-0.4,FALSE
"ExpC","ExpC_rs00068",-0.4,FALSE
"ExpC","ExpC_rs00069",-0.4,TRUE
"ExpC","ExpC_rs00070",-0.4,FALSE
"ExpD","ExpD_rs00001",0.2,FALSE
"ExpD","ExpD_rs00002",0.2,FALSE
"ExpD","ExpD_rs00003",0.2,FALSE
"ExpD","ExpD_rs00004",0.2,FALSE
"ExpD","ExpD_rs00005",0.2,FALSE
"ExpD","ExpD_rs00006",0.2,FALSE
"ExpD","ExpD_rs00007",0.2,FALSE
"ExpD","ExpD_rs00008",0.2,FALSE
"ExpD","ExpD_rs00009",0.2,FALSE
"ExpD","ExpD_rs00010",0.2,FALSE
"ExpD","ExpD_rs00011",0.2,FALSE
"ExpD","ExpD_rs00012",0.2,FALSE
"ExpD","ExpD_rs00013",0.2,FALSE
"ExpD","ExpD_rs00014",0.2,FALSE
"ExpD","ExpD_rs00015",0.2,FALSE
"ExpD","ExpD_rs00016",0.2,FALSE
"ExpD","ExpD_rs00017",0.2,TRUE
"ExpD","ExpD_rs00018",0.2,FALSE
"ExpD","ExpD_rs00019",0.2,FALSE
"ExpD","ExpD_rs00020",0.2,FALSE
"ExpD","ExpD_rs00021",0.2,FALSE
"ExpD","ExpD_rs00022",0.2,FALSE
"ExpD","ExpD_rs00023",0.2,FALSE
"ExpD","ExpD_rs00024",0.2,FALSE
"ExpD","ExpD_rs00025",0.2,FALSE
"ExpD","ExpD_rs00026",0.2,TRUE
"ExpD","ExpD_rs00027",0.2,FALSE
"ExpD","ExpD_rs00028",0.2,FALSE
"ExpD","ExpD_rs00029",0.2,FALSE
"ExpD","ExpD_rs00030",0.2,FALSE
"ExpD","ExpD_rs00031",0.2,FALSE
"ExpD","ExpD_rs00032",0.2,FALSE
"ExpD","ExpD_rs00033",0.2,FALSE
"ExpD","ExpD_rs00034",0.2,TRUE
"ExpD","ExpD_rs00035",0.2,TRUE
"ExpD","ExpD_rs00036",0.2,TRUE
"ExpD","ExpD_rs00037",0.2,FALSE
"ExpD","ExpD_rs00038",0.2,FALSE
"ExpD","ExpD_rs00039",0.2,FALSE
"ExpD","ExpD_rs00040",0.2,FALSE
"ExpD","ExpD_rs00041",0.2,FALSE
"ExpD","ExpD_rs00042",0.2,FALSE
"ExpD","ExpD_rs00043",0.2,FALSE
"ExpD","ExpD_rs00044",0.2,FALSE
"ExpD","ExpD_rs00045",0.2,FALSE
"ExpD","ExpD_rs00046",0.2,FALSE
"ExpD","ExpD_rs00047",0.2,FALSE
"ExpD","ExpD_rs00048",0.2,FALSE
"ExpD","ExpD_rs00049",0.2,TRUE
"ExpD","ExpD_rs00050",0.2,FALSE
"ExpD","ExpD_rs00051",0.2,FALSE
"ExpD","ExpD_rs00052",0.2,FALSE
"ExpD","ExpD_rs00053",0.2,FALSE
"ExpD","ExpD_rs00054",0.2,FALSE
"ExpD","ExpD_rs00055",0.2,TRUE
"ExpD","ExpD_rs00056",0.2,FALSE
"ExpD","ExpD_rs00057",0.2,FALSE
"ExpD","ExpD_rs00058",0.2,FALSE
"ExpD","ExpD_rs00059",0.2,FALSE
"ExpD","ExpD_rs00060",0.2,FALSE
"ExpD","ExpD_rs00061",0.2,FALSE
"ExpD","ExpD_rs00062",0.2,TRUE
"ExpD","ExpD_rs00063",0.2,FALSE
"ExpD","ExpD_rs00064",0.2,FALSE
"ExpD","ExpD_rs00065",0.2,FALSE
"ExpD","ExpD_rs00066",0.2,FALSE
"ExpD","ExpD_rs00067",0.2,FALSE
"ExpD","ExpD_rs00068",0.2,FALSE
"ExpD","ExpD_rs00069",0.2,FALSE
"ExpD","ExpD_rs00070",0.2,FALSE
"ExpE","ExpE_rs00001",0,FALSE
"ExpE","ExpE_rs00002",0,FALSE
"ExpE","ExpE_rs00003",0,FALSE
"ExpE","ExpE_rs00004",0,FALSE
"ExpE","ExpE_rs00005",0,FALSE
"ExpE","ExpE_rs00006",0,FALSE
"ExpE","ExpE_rs00007",0,FALSE
"ExpE","ExpE_rs00008",0,FALSE
"ExpE","ExpE_rs00009",0,FALSE
"ExpE","ExpE_rs00010",0,FALSE
"ExpE","ExpE_rs00011",0,FALSE
"ExpE","ExpE_rs00012",0,FALSE
"ExpE","ExpE_rs00013",0,FALSE
"ExpE","ExpE_rs00014",0,FALSE
"ExpE","ExpE_rs00015",0,FALSE
"ExpE","ExpE_rs00016",0,FALSE
"ExpE","ExpE_rs00017",0,FALSE
"ExpE","ExpE_rs00018",0,FALSE
"ExpE","ExpE_rs00019",0,FALSE
"ExpE","ExpE_rs00020",0,FALSE
"ExpE","ExpE_rs00021",0,FALSE
"ExpE","ExpE_rs00022",0,TRUE
"ExpE","ExpE_rs00023",0,TRUE
"ExpE","ExpE_rs00024",0,FALSE
"ExpE","ExpE_rs00025",0,FALSE
"ExpE","ExpE_rs00026",0,FALSE
"ExpE","ExpE_rs00027",0,FALSE
"ExpE","ExpE_rs00028",0,FALSE
"ExpE","ExpE_rs00029",0,FALSE
"ExpE","ExpE_rs00030",0,FALSE
"ExpE","ExpE_rs00031",0,FALSE
"ExpE","ExpE_rs00032",0,TRUE
"ExpE","ExpE_rs00033",0,FALSE
"ExpE","ExpE_rs00034",0,FALSE
"ExpE","ExpE_rs00035",0,FALSE
"ExpE","ExpE_rs00036",0,FALSE
"ExpE","ExpE_rs00037",0,FALSE
"ExpE","ExpE_rs00038",0,FALSE
"ExpE","ExpE_rs00039",0,FALSE
"ExpE","ExpE_rs00040",0,FALSE
"ExpE","ExpE_rs00041",0,FALSE
"ExpE","ExpE_rs00042",0,FALSE
"ExpE","ExpE_rs00043",0,FALSE
"ExpE","ExpE_rs00044",0,FALSE
"ExpE","ExpE_rs00045",0,TRUE
"ExpE","ExpE_rs00046",0,TRUE
"ExpE","ExpE_rs00047",0,FALSE
"ExpE","ExpE_rs00048",0,FALSE
"ExpE","ExpE_rs00049",0,FALSE
"ExpE","ExpE_rs00050",0,TRUE
"ExpE","ExpE_rs00051",0,FALSE
"ExpE","ExpE_rs00052",0,FALSE
"ExpE","ExpE_rs00053",0,FALSE
"ExpE","ExpE_rs00054",0,FALSE
"ExpE","ExpE_rs00055",0,FALSE
"ExpE","ExpE_rs00056",0,FALSE
"ExpE","ExpE_rs00057",0,TRUE
"ExpE","ExpE_rs00058",0,FALSE
"ExpE","ExpE_rs00059",0,FALSE
"ExpE","ExpE_rs00060",0,FALSE
"ExpE","ExpE_rs00061",0,TRUE
"ExpE","ExpE_rs00062",0,FALSE
"ExpE","ExpE_rs00063",0,FALSE
"ExpE","ExpE_rs00064",0,FALSE
"ExpE","ExpE_rs00065",0,FALSE
"ExpE","ExpE_rs00066",0,FALSE
"ExpE","ExpE_rs00067",0,FALSE
"ExpE","ExpE_rs00068",0,FALSE
"ExpE","ExpE_rs00069",0,FALSE
"ExpE","ExpE_rs00070",0,FALSE
